order_id,date,product,category,quantity,unit_price,total_sales,customer_id,region,sales_rep,discount_pct,profit
1001,2024-01-05,Laptop Pro 15,Electronics,2,1299.99,2599.98,CUST001,North,Alice Johnson,5,520.00
1002,2024-01-07,Wireless Mouse,Electronics,5,29.99,149.95,CUST002,South,Bob Smith,0,45.00
1003,2024-01-10,Office Chair,Furniture,1,449.00,449.00,CUST003,East,Carol Davis,10,89.80
1004,2024-01-12,Standing Desk,Furniture,2,799.00,1598.00,CUST001,North,Alice Johnson,0,319.60
1005,2024-01-15,USB-C Hub,Electronics,8,49.99,399.92,CUST004,West,Dave Wilson,0,120.00
1006,2024-01-18,Monitor 27",Electronics,3,399.00,1197.00,CUST005,North,Alice Johnson,15,239.40
1007,2024-01-20,Ergonomic Keyboard,Electronics,4,129.99,519.96,CUST002,South,Bob Smith,5,104.00
1008,2024-01-22,Webcam HD,Electronics,6,89.99,539.94,CUST003,East,Carol Davis,0,162.00
1009,2024-01-25,Desk Lamp,Office Supplies,10,34.99,349.90,CUST006,West,Dave Wilson,10,70.00
1010,2024-01-28,Notebook Set,Office Supplies,20,12.99,259.80,CUST007,South,Bob Smith,0,77.94
1011,2024-02-02,Laptop Pro 15,Electronics,1,1299.99,1299.99,CUST008,East,Carol Davis,0,260.00
1012,2024-02-05,Smart Speaker,Electronics,3,79.99,239.97,CUST001,North,Alice Johnson,5,48.00
1013,2024-02-08,Office Chair,Furniture,4,449.00,1796.00,CUST009,West,Dave Wilson,20,359.20
1014,2024-02-10,Wireless Headphones,Electronics,2,199.99,399.98,CUST010,South,Bob Smith,0,80.00
1015,2024-02-14,Standing Desk,Furniture,1,799.00,799.00,CUST003,East,Carol Davis,10,159.80
1016,2024-02-18,Laptop Stand,Electronics,7,59.99,419.93,CUST004,West,Dave Wilson,0,126.00
1017,2024-02-20,USB-C Hub,Electronics,3,49.99,149.97,CUST005,North,Alice Johnson,0,45.00
1018,2024-02-22,Printer Ink Set,Office Supplies,12,24.99,299.88,CUST006,West,Dave Wilson,5,60.00
1019,2024-02-25,Monitor 27",Electronics,1,399.00,399.00,CUST007,South,Bob Smith,0,79.80
1020,2024-02-28,Ergonomic Keyboard,Electronics,2,129.99,259.98,CUST008,East,Carol Davis,10,52.00
1021,2024-03-03,Smart Speaker,Electronics,5,79.99,399.95,CUST001,North,Alice Johnson,0,80.00
1022,2024-03-07,Laptop Pro 15,Electronics,3,1299.99,3899.97,CUST009,West,Dave Wilson,10,780.00
1023,2024-03-10,Bookshelf Unit,Furniture,2,299.00,598.00,CUST010,South,Bob Smith,0,119.60
1024,2024-03-14,Wireless Mouse,Electronics,10,29.99,299.90,CUST002,South,Bob Smith,5,90.00
1025,2024-03-18,Desk Organizer,Office Supplies,15,19.99,299.85,CUST003,East,Carol Davis,0,90.00
1026,2024-03-20,Webcam HD,Electronics,4,89.99,359.96,CUST004,West,Dave Wilson,0,108.00
1027,2024-03-22,Standing Desk,Furniture,3,799.00,2397.00,CUST005,North,Alice Johnson,15,479.40
1028,2024-03-25,USB-C Charger,Electronics,8,34.99,279.92,CUST006,West,Dave Wilson,0,84.00
1029,2024-03-28,Office Chair,Furniture,2,449.00,898.00,CUST007,South,Bob Smith,5,179.60
1030,2024-04-01,Laptop Pro 15,Electronics,1,1299.99,1299.99,CUST008,East,Carol Davis,0,260.00
1031,2024-04-05,Monitor 27",Electronics,2,399.00,798.00,CUST009,West,Dave Wilson,10,159.60
1032,2024-04-10,Smart Speaker,Electronics,6,79.99,479.94,CUST010,South,Bob Smith,0,96.00
1033,2024-04-14,Wireless Headphones,Electronics,3,199.99,599.97,CUST001,North,Alice Johnson,5,120.00
1034,2024-04-18,Desk Lamp,Office Supplies,8,34.99,279.92,CUST002,South,Bob Smith,10,56.00
1035,2024-04-20,Ergonomic Keyboard,Electronics,5,129.99,649.95,CUST003,East,Carol Davis,0,130.00
1036,2024-04-22,Bookshelf Unit,Furniture,1,299.00,299.00,CUST004,West,Dave Wilson,15,59.80
1037,2024-04-25,USB-C Hub,Electronics,4,49.99,199.96,CUST005,North,Alice Johnson,0,60.00
1038,2024-04-28,Printer Ink Set,Office Supplies,6,24.99,149.94,CUST006,West,Dave Wilson,5,30.00
1039,2024-05-02,Laptop Stand,Electronics,3,59.99,179.97,CUST007,South,Bob Smith,0,54.00
1040,2024-05-05,Laptop Pro 15,Electronics,2,1299.99,2599.98,CUST008,East,Carol Davis,20,520.00
1041,2024-05-10,Standing Desk,Furniture,1,799.00,799.00,CUST009,West,Dave Wilson,0,159.80
1042,2024-05-14,Monitor 27",Electronics,4,399.00,1596.00,CUST010,South,Bob Smith,10,319.20
1043,2024-05-18,Smart Speaker,Electronics,2,79.99,159.98,CUST001,North,Alice Johnson,0,32.00
1044,2024-05-20,Wireless Mouse,Electronics,15,29.99,449.85,CUST002,South,Bob Smith,5,135.00
1045,2024-05-22,Office Chair,Furniture,3,449.00,1347.00,CUST003,East,Carol Davis,15,269.40
1046,2024-05-25,Webcam HD,Electronics,2,89.99,179.98,CUST004,West,Dave Wilson,0,54.00
1047,2024-05-28,USB-C Charger,Electronics,10,34.99,349.90,CUST005,North,Alice Johnson,10,105.00
1048,2024-06-02,Notebook Set,Office Supplies,25,12.99,324.75,CUST006,West,Dave Wilson,0,97.43
1049,2024-06-05,Laptop Pro 15,Electronics,1,1299.99,1299.99,CUST007,South,Bob Smith,5,260.00
1050,2024-06-10,Ergonomic Keyboard,Electronics,6,129.99,779.94,CUST008,East,Carol Davis,10,156.00
